030;MyKebab.com;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Mykebabcom;Marc Spaniol;2
031;TrackMe!;https://forge.info.unicaen.fr/projects/projets-m1/wiki/TrackMe!;Marc Spaniol;2
032;Celebrity Monitoring;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Celebrity_Monitoring;Marc Spaniol;1
033;Séjours Sémantique;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Séjours_Sémantique;Marc Spaniol;1
034;My-Garage.com;https://forge.info.unicaen.fr/projects/projets-m1/wiki/My-Garagecom;Marc Spaniol;1
035;Jeu de Nîm logique;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Jeu_de_Nîm_logique;Bruno Zanuttini;1
036;Visualisation d'algorithmes de recherche;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Visualisation_d'algorithmes_de_recherche;Bruno Zanuttini;1
037;Génération et reconnaissance de gestes;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Génération_et_reconnaissance_de_gestes;Sébastien Bougleux;1
038;Mise en place d'un réseau d'Overlay;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Mise_en_place_d'un_réseau_d'Overlay;Pascal Fougeray;1
039;Compréhension du filtrage dans les CSP – Outil graphique;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Compréhension_du_filtrage_dans_les_CSP_–_Outil_graphique;Patrice Boizumault;1
040;Compréhension du filtrage dans les CSP – Module d'explications;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Compréhension_du_filtrage_dans_les_CSP_–_Module_d'explications;Patrice Boizumault;1
041;Métadonnées embarquées et sites web;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Métadonnées_embarquées_et_sites_web;Jean-Marc Lecarpentier;1
042;Tests automatiques sur des pages web;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Tests_automatiques_sur_des_pages_web;Jean-Marc Lecarpentier;1
043;Décomposition en trous d'un graphe;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Décomposition_en_trous_d'un_graphe;Solomampionona Ranaivoson;1
044;Etudes de cryptosystèmes basés sur des problèmes difficiles dans les groupes;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Etudes_de_cryptosystèmes_basés_sur_des_problèmes_difficiles_dans_les_groupes;Ali Akhavi;1
045;Evaluation de l'apprentissage des préférences dans la fouille interactive;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Evaluation_de_l'apprentissage_des_préférences_dans_la_fouille_interactive;Bruno Crémilleux;1
046;Un algorithme de rendez-vous;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Un_algorithme_de_rendez-vous;Véronique Terrier;1
047;Méthode adaptative pour mesurer la robustesse des mots de passe;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Méthode_adaptative_pour_mesurer_la_robustesse_des_mots_de_passe;Jean-Marie Lebars;1
048;Clustering de minuties sur des templates d'empreintes digitales;https://forge.info.unicaen.fr/projects/projets-m1/wiki/Clustering_de_minuties_sur_des_templates_d'empreintes_digitales;Jean-Marie Lebars;1
